	TB_epi	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_epi	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_epi	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_epi	TB_hypo	TB_epi	TB_epi	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo	TB_hypo
citrate_lyase	27	54	54	28	0	12	4	2	4	7	4	3	19	3	26	11	12	15	11	8	4	8	22	8	0	12	17	7	31	7	8	0	14	10	0	6	2	8	11	5	1	2	9	12	15	10	27	6	5	9	7	13	6	13	9	11	14	3	7	10	14	35	25	22	6	17	20	0	30	22	0	4	12	15	4	0	5	25	13	3	8	10	14	14	9	17	20	36	14	11	7	4	13	11
methane_ammonia_monooxygenase	50	121	121	42	3	42	9	6	12	3	10	9	30	7	37	37	74	17	29	8	8	8	165	9	2	21	16	30	86	20	22	0	15	22	0	6	9	36	34	33	14	4	65	49	472	13	71	24	11	38	24	22	17	59	31	49	14	0	18	9	24	45	27	16	6	52	20	0	58	45	0	10	23	27	23	0	29	38	19	14	18	13	45	42	8	22	14	77	36	29	27	149	26	35
methanol_dehydrogenase	92	239	239	104	7	107	28	16	16	22	25	30	147	13	77	115	69	64	70	26	18	22	247	58	2	76	69	58	148	27	57	5	45	64	0	19	33	43	47	23	11	5	113	65	571	14	130	41	17	51	32	47	24	91	51	63	32	11	37	62	76	108	66	44	37	53	57	0	101	103	0	40	51	42	76	0	37	176	80	38	36	53	63	90	12	40	43	277	108	138	92	188	79	69
nitrate_reductase	130	448	448	96	16	125	34	38	64	20	30	28	144	20	128	144	43	76	48	43	23	39	95	79	4	107	75	37	117	25	68	3	66	89	0	17	57	100	64	28	31	19	44	42	93	22	479	351	133	331	308	222	113	409	316	209	140	7	71	18	59	243	120	82	16	198	246	0	232	251	0	35	57	125	83	0	198	133	75	61	93	66	61	85	66	117	98	191	101	132	75	19	93	295
nitric_oxide_reductase	255	269	269	40	4	101	35	23	18	11	12	14	73	9	68	52	38	22	46	19	4	6	31	74	0	24	9	10	49	9	82	0	59	57	0	16	12	16	21	7	5	0	14	47	70	3	158	78	31	106	80	73	87	141	84	100	27	1	10	9	27	78	72	58	4	24	50	0	80	50	0	24	15	53	40	0	21	150	110	34	65	57	50	86	7	53	40	150	71	127	63	25	86	78
nitrite_reductase	164	350	350	153	5	111	30	21	60	34	48	44	107	23	63	83	42	68	43	41	33	44	214	52	2	97	112	40	174	31	50	3	51	41	0	13	39	63	41	27	5	24	117	68	467	24	259	137	55	147	128	94	58	183	135	174	44	18	41	72	75	96	73	49	98	64	59	0	106	70	0	37	61	65	60	0	41	107	67	68	60	39	37	76	14	60	33	176	77	91	59	145	87	116
nitrogenase	872	643	643	175	4	298	80	70	110	54	73	85	148	58	218	163	183	149	196	123	63	40	222	358	3	107	95	99	416	60	323	5	184	197	0	89	59	112	92	25	14	11	124	242	381	24	412	384	124	326	271	241	269	450	285	428	94	18	76	57	175	304	234	277	79	88	204	0	294	231	0	106	67	271	127	0	201	500	372	166	275	186	341	234	33	175	201	399	157	496	219	111	231	279
nitrous_oxide_reductase	17	33	33	13	1	12	2	4	8	4	10	7	20	1	6	4	7	19	10	5	6	7	19	7	0	11	9	6	29	6	10	0	7	7	0	3	3	9	4	1	0	2	8	12	16	4	18	22	4	17	13	9	5	26	14	16	7	5	2	8	8	11	12	8	6	5	14	0	16	7	0	3	12	8	5	0	12	21	18	13	6	6	8	11	4	6	7	29	8	14	8	9	19	12
rubisco	468	300	300	283	17	82	42	32	109	246	58	28	106	132	88	57	60	125	192	79	141	167	152	146	31	538	365	124	1070	216	92	4	130	162	0	130	37	73	65	48	13	38	111	82	152	80	191	145	71	88	136	88	28	169	114	235	35	42	209	105	196	149	50	42	178	35	98	0	67	56	0	24	183	31	60	0	74	85	85	108	122	74	23	118	7	39	30	170	105	100	87	46	190	120
SOX	354	997	997	529	11	548	147	33	78	79	162	143	732	39	168	458	87	141	132	134	117	123	624	206	8	243	273	76	440	72	227	8	175	216	0	65	98	229	226	105	23	27	322	94	1187	72	582	284	125	244	386	164	91	350	307	361	195	78	109	322	279	144	151	79	335	173	230	0	186	238	0	208	166	91	464	0	107	678	397	112	115	270	71	430	100	107	73	1436	584	630	541	384	640	244
sulfate_adenylyltransferase	486	969	969	515	16	422	105	69	113	66	173	157	457	63	247	277	252	227	196	166	145	123	479	208	15	351	334	110	649	143	218	10	192	144	0	96	96	251	202	67	22	23	303	300	761	73	645	375	161	323	349	252	166	443	318	356	133	76	114	438	368	327	204	183	325	197	274	0	422	274	0	115	203	216	215	0	165	458	290	198	193	184	243	318	64	258	199	844	372	467	286	266	391	334
sulfide_quinone_reductase	1753	1996	1996	577	24	553	151	198	235	105	176	100	518	94	580	474	465	361	463	224	127	127	700	527	13	520	378	205	733	117	617	15	328	445	0	142	165	376	314	89	55	21	434	542	1745	61	1269	856	267	823	460	566	518	1084	566	1036	161	64	186	210	324	717	498	407	180	312	394	0	750	557	0	275	278	407	335	0	250	1085	686	365	547	377	557	599	68	256	321	1177	513	960	455	619	566	697
sulfite_reductase	111	84	84	24	0	29	6	4	7	3	3	9	12	10	10	13	13	11	8	10	1	10	7	18	0	14	8	10	35	12	29	0	19	18	0	12	6	11	7	2	0	1	8	20	13	3	29	29	15	18	21	17	17	38	23	18	7	4	5	6	18	21	15	6	7	10	21	0	18	15	0	4	9	12	11	0	6	41	40	14	19	11	28	30	6	14	20	46	16	43	26	5	33	27
urease	52	52	52	48	2	35	7	6	12	7	18	19	27	6	12	19	17	22	17	16	6	11	33	18	0	27	37	14	56	6	10	0	9	13	0	7	6	7	16	5	4	4	37	29	58	11	56	46	13	26	32	29	19	39	40	50	9	1	8	39	24	22	11	15	46	12	16	0	23	14	0	5	17	14	15	0	5	24	12	22	20	14	26	11	0	10	12	26	24	16	11	23	23	29
