	TB01July08E	TB01July08H	TB01Oct07E	TB01Oct07H	TB02July07E	TB02July07H	TB03Aug09E	TB03Aug09H	TB03June09E	TB03June09H	TB04Oct08E	TB04Oct08H	TB05Aug08E	TB05Aug08H	TB05Nov07E	TB05Nov07H	TB07July09E	TB07July09H	TB07Jun07E	TB07Jun07H	TB08July08E	TB08July08H	TB08June09E	TB09Aug07E	TB09Aug07H	TB09Sept08E	TB09Sept08H	TB10July07H	TB10Sept07H	TB11Aug09E	TB11Aug09H	TB12Aug08E	TB12Aug08H	TB12July07E	TB13July09E	TB13July09H	TB13Jun07E	TB13Jun07H	TB13June08E	TB13June08H	TB14Nov07E	TB14Nov07H	TB15July08E	TB15July08H	TB15June09E	TB15June09H	TB16Oct07E	TB16Oct07H	TB17Sept07E	TB17Sept07H	TB18Aug09E	TB18Aug09H	TB19Aug08E	TB19Aug08H	TB20Aug07E	TB20Aug07H	TB20Sept08E	TB20Sept08H	TB21July09E	TB21July09H	TB22July08E	TB22July08H	TB22May08E	TB22May08H	TB23June09E	TB23June09H	TB23Oct08E	TB23Oct08H	TB24June08E	TB24June08H	TB25Aug08E	TB25Aug08H	TB25July07E	TB25July07H	TB27Aug07E	TB27Aug07H	TB27July09E	TB27July09H	TB27Jun07E	TB27Jun07H	TB28May07H	TB29July08E	TB29July08H	TB29June09E	TB29June09H	TB29May08E	TB29May08H	TB29May09E	TB29May09H	TB30Apr08E	TB31July07E	TB31July07H
Choanoflagellida	0.01	0.02		0.02		0.1	0.52	0.06	0.08		0.06	0.03	0.16	0.01		0.02	0.33		0.29		0.3	0.03		0.05	0.03	0.14	0.02	0.18	0.14	0.67	0.02	0.2		0.13	0.36	0.36		0.06	0.01	0.1			0.17	0.03	0.04	0.04	0.02	0.04		0.03	0.53	0.56	0.12		0.1	0.01	0.07	0.03	1.16	0.68	0.27	0.03	0.05		0.04		0.01	0.01	0.06	0.03	0.32	0.03	0.44	0.08	0.09	0.06	0.8	0.04		0.07	0.02	0.42	0.01		0.02		0.03	0.07	0.07		0.07	0.06
Elusimicrobia_TG1	0.01	0.19		0.12		0.08		0.07	0.01	0.04	0.16	0.67	0	0.26	0.05	0.39	0.04		0.01	0.16		0.22		0.04	0.16	0.14	0.18	0.04	0.07		0.35			0	0.01	0.01		0.03	0.02	0.1	0.01		0.04	0.3		0.04	0.13	0.39		0.29	0.06	0.01	0.01	0.18	0.04	0.17	0.33	0.53			0.01	0.16	0.01	0.15		0.08	0.02	0.4		0.1	0.01	0.16	0.01	0.15	0.04	0.04		0.07	0.01	0.29	0.16		0.19		0.02		0.03				0	0.06
Thermi	0.02	0	0.02	0.01		0.01	0.03	0.03			0.02	0.18		0.34		0.01	0.1			0.02	0.01	0.01		0.01		0.09	3.24				0.18	0.04		0		0.03			0.06				0.01	0.07			0	0.02		0	2.04	0.02	0.05			0.02	0.15	0.02	0.01		0.01						0.01	0.02			0.05	0.22			0.01		0.01					0.02		0.01	0.03	0.04						
SC4	0	0.06		0.11		0.06		0.05		0.02		0.3		0.12	0.01	0.35				0.18		0.05			0.35		0.2	0.06			0.05		0.17			0.02							0.01	0.26			0.07	0.59		0.34		0.01	0.02	0.3	0.03	0.35	0.01	0.6			0	0.11		0.08				0.36		0.02		0.33		0.26	0.01	0.09		0.04		0.1			0.12	0.01			0.04					0.12
OP3	0.03	0.12	0	0.15	0.01	0.05		0.03	0.01	0.06	0.21	0.18	0.05	0.18	0.07	0.31	0.19			0.02	0.03	0.07		0.1	0.1		0.1	0.01		0.01	0.13	0.06	0.17	0.1	0.01			0.02	0.02		0.01	0.04	0.06	0.11	0.01		0.11	0.27		0.23	0.03		0.03	0.07	0.05	0.09	0.16	0.24			0.07	0.09		0.08		0.03	0.01	0.2	0.02	0.24	0.05	0.08	0.03	0.1	0.06	0.01		0.03	0.05	0.28		0.02	0.18		0.01		0.03		0.04		0.04	0.12
SM2F11	0.02	0.1	0	0.11	0.03	0.12	0.01	0.02	0.03	0.04	0.06	0.1	0.03	0.07	0.02	0.39	0.02		0.01	0.08	0.03	0.09	0.02	0.05	0.1	0.05	0.03	0.11	0.14	0.01	0.02	0.02		0.08	0.06	0.04		0.05	0.05	0.15	0.01	0.03	0.07	0.14	0.01		0.15	0.23		0.23	0.03	0.02		0.13	0.08	0.08	0.03	0.12	0.01		0.08	0.08	0.01	0.34		0.02	0.05	0.12	0.04	0.09	0.04	0.06	0.01	0.08	0.13	0.08		0.02	0.02	0.09	0.26	0.02	0.09	0.01	0.05	0.02	0.01	0.04	0.02		0.01	0.12
Cercozoa	0		0.02	0.02		0.06	0.34	0.1	0.01	0.02		0.05		0.08	0	0.05	0.02	0.18	0.01			0.01		0.01	0.03		0.12	0.09		0.4	0.11	0.02		0.01	0.06	0.07			0.01	0.05	0.01		0.02			0.16		0.07		0.01	0.08	0.12		0.01	0.05	0.02	0.03	0.01	0.14	0.17		0.01		0.19		0.14	0.01			0.05		0.03	0.2	0.01	0.01	0.02	0.65	0.15	0.01	0.01		0.07	0.01	0.01	0.17	0.04	0.01	0.03	0.04	0.43	0.47	0.06
ZB2	0	0.02		0.09	0.05	0.07	0.01				0.03	0.31	0	0.08	0.03	0.52	0.06			0.04		0.02	0.02	0.1	0.06		0.09	0.04		0.01	0.09	0.03		0.03	0.06	0.03		0.01				0.01	0.09	0.03			0.14	0.37		0.09	0.03		0.01		0.01	0.05	0.01	0.05	0.01		0.11	0.02				0.01	0.01	0.14	0.02	0.14	0.01	0.05		0.08	0.07	0.01	0.07	0.06	0.01	0.07	0.02	0.01	0.08	0.01	0.02			0.01	0.01		0.01	
ABY1_OD1	0.01	0.03	0	0.05		0.23	0.01	0.01			0.05	0.11		0.05	0.01	0.31				0.04		0.04		0.03	0.03		0.02	0.12	0.07	0.01	0.02			0.03		0.01		0.06				0.01	0.04	0.02			0.08	0.17		0.1	0.03		0.06	0.08	0.03	0.06		0.03	0.04		0.04	0.02			0.03		0.04	0.12		0.04	0.01	0.05		0.05	0.03	0.08		0.02		0.21	0.22	0.02	0.02					0.03	0.01		0	
NKB19	0			0.04		0.03						0.05		0.05	0.01	0.27				0.08		0.04			0.1		0.04	0.01	0.07	0.01	0.01					0.01					0.01		0.01	0.05			0.04	0.32		0.18			0.02	0.02		0.1		0.13			0.02	0.02				0.02	0.01	0.06		0.01	0.01	0.09		0.02		0.12		0.01		0.01							0.02					0.06
Euglenozoa	0	0.03	0	0.02		0.09	0.07					0.02	0.03	0.08	0.01	0.02		0.18		0.03		0.06		0.03	0.06		0.03	0.09		0.01	0.06	0.03	0.17	0	0.01	0.01		0.05	0.01	0.05			0.01	0.24			0.01	0.03		0.02	0.01		0.02	0.06	0.01	0.05		0.02	0.11		0.02	0.11				0.01	0.02	0.04		0.04	0.03	0.05	0.03	0.01	0.03	0.09	0.02	0.02	0.01	0.01		0.04	0.12	0.01	0.02		0.02				0	0.12
Thermoplasmata_Eury	0	0.02		0.04		0.03		0.02				0.11		0.03	0.03	0.18						0.05			0.13		0.04	0.01			0.04					0.01				0.05		0.03	0.01	0.06		0.08	0.06	0.17		0.13		0.04		0.05		0.02	0.01	0.13				0.05		0.04		0.01	0.02	0.07		0.05				0.02		0.1		0.01		0.01			0.1		0.01		0.02	0.01		0.01		
DHVE3	0.01	0.15		0.01				0.05				0.1		0.17		0.1	0.02			0.01		0.08			0.03		0.06		0.07		0.04		0.17							0.29			0.01	0.14				0.04		0.01			0.01	0.13		0.02		0.13			0	0.11		0.3	0.02	0.01	0.01	0.07		0.07	0.01	0.09		0.03	0			0.07					0.01	0.01			0.01					
WS5	0.01	0.02	0.02	0.06		0.05		0.01		0.01		0.05		0.02	0.01	0.11				0.06	0.01	0.03		0.01	0.1		0.05	0.13	0.14									0.1			0.01	0.01	0.01	0.01			0.03	0.14		0.12		0.01	0.03	0.06	0.01	0.06	0.04	0.03				0.01				0.01	0.04	0.07		0	0.01			0.07	0.03	0.11		0.01		0.04	0.08		0.02		0.01							0.12
Ichthyosporea	0	0.01							0.02	0.03	0.02	0.01	0													0.05	0.01			0.03	0.01	0.01				0.01			0.01						0.03						0.09	0.04	0.06	0.01	0.03	0.03			0.01			0.01	0.45		0.01	0.02	0.02			0.04	0.03	0.03	0.05		0.03	0.01	0.01							0.01		0.12	0.02	0.44	0.3			
WS1	0	0.04		0.04		0.05		0.05		0.01		0.09		0.02	0.01	0.12				0.02		0.02					0.04	0.03		0.01	0.01		0.17			0.03		0.01		0.05	0.02		0.01	0.04			0.02	0.18		0.07		0.01		0.06		0.04		0.09				0.04	0.02	0.04		0.02		0.08		0.03				0.02	0	0.05		0.03		0.01			0.05		0.02							0.06
WPS-2	0	0.02	0.03	0.04		0.04				0.01	0.04	0.01	0.01	0.01	0.01	0.01		0.09		0.01		0.01		0.03		0.09	0.01	0.01		0.01		0.1						0.03		0.05		0.01		0.01		0.08	0.02			0.01			0.2	0.01	0.18		0.05	0.03			0	0.01			0.01	0.01				0.01	0.23	0.03		0.01	0.03	0.03		0.01		0.01			0.03		0.01		0.02		0.03	0.01	0	
BRC1	0.01	0.01		0.02		0.01				0.01		0.03		0.02	0	0.13				0.02		0.06			0.1		0.07	0.01			0.01			0.01		0.01				0.1				0.03			0.01	0.09		0.02				0.04			0.01	0.1				0.04				0.06		0.07		0.03	0.01	0.06		0.01	0	0.03		0.02		0.01			0.05		0.03	0.1	0.05				0	
WS3	0	0.03		0.02		0.04		0.01		0.01	0.01	0.04		0.06		0.03				0.01		0.13					0.04		0.21			0.01	0.17							0.05			0.03	0.13		0.04		0.04		0.04				0.03		0.01	0.01	0.02				0.05		0.04		0.01	0.01	0.03		0.03		0.25		0.01	0	0.01	0.01			0.01			0.05				0.07					
Methanobacteria_Eury	0	0.05				0.01	0.01	0.01				0.03		0.02		0				0.04		0.03					0.01	0.08	0.07	0.01	0.01					0.01		0.05		0.05		0	0.01	0.02			0			0.03		0.02		0.02	0.01	0.05	0.04			0.34	0	0.04		0.04	0.01		0.01			0.02		0.02		0.03		0.03		0.01		0.01	0.06		0.02		0.01		0.02			0.01		
WS6	0	0.01		0.02		0.02				0.01		0.01		0.01		0.08				0.03		0.02			0.1		0.01	0.05			0.01					0.01		0.01						0.04		0.04	0.01	0.06		0.03		0.01			0.01	0.03	0.01	0.01			0	0.01				0.01	0.01			0.01	0.01	0.02		0.03	0.01	0.02				0.05	0.02						0				0	
Centroheliozoa	0		0				0.01			0.05						0												0.01							0.01								0.01			0.04				0.03	0.03		0.01		0.01			0.01					0.05							0.1			0.01	0.01	0.01		0.01		0.01						0.01	0.26	0.02	0.04	0.04		0.15	
Fibrobacteres	0.01	0.01		0.01		0.04				0.01	0.02	0.02			0	0.05			0.09	0.01		0.02		0.01			0.01	0.03			0.01			0.01				0.04				0		0.01				0.03		0.02						0.03		0.02										0.04			0.01	0.02		0.01	0.01		0.01	0.01		0.02	0.02		0.03	0.01	0.01							
Gemmatimonadetes	0		0	0.02		0.05								0.02	0	0.02				0.04		0.02						0.02	0.21					0.01				0.02	0.01		0.02			0.01				0.04		0.03					0.01	0.03	0.03	0.01				0.01						0.01		0.01	0.01			0.01	0	0.02			0.01	0.03	0.02	0.01	0.01									
GN02	0.01	0.01		0.02		0.02				0.01	0.01					0.07											0.02				0.01	0.01		0									0.01				0.03	0.07		0.01	0.03							0.01			0.01	0.01						0.01		0.02				0.01	0.02	0.01				0			0.02									
Lobosea	0								0.06							0								0.01								0.01		0.01																			0.04										0.17								0.04		0.01						0.01							0.1	0.03	0.04	0.06		0.02	
pMC2A15		0		0.01				0.01				0.01			0	0.04											0.01	0.01			0.02											0		0.02			0	0.1		0.09				0.02			0.01	0.01												0						0.01		0.01		0.01			0.01									
Elev_16S_998						0.03						0.01								0.01		0.01		0.02								0.04										0		0.01			0	0.01					0.07				0.01	0.01									0.01							0.01	0.03	0.01															0.02	
WCHB1-27		0										0.01				0.02						0.01					0.01	0.01			0.06													0.01				0.03		0.01								0.02						0.04				0.01		0	0.01	0.03		0.01	0	0.03							0.01				0.01					
Nitrospirae		0	0			0.02	0.01	0.01		0.01		0.01				0						0.01					0.01	0.01		0.01						0.01			0.01				0.02	0.01				0.02			0.01	0.01	0.01					0.01	0.01	0.17										0.02	0.01				0.01			0.02	0.01						0.01		0	0.01				
MBMPE71		0.02										0.01		0.02		0.02						0.01					0.01	0.01																0.02				0.01						0.03			0.01	0.04										0.06		0.01		0.03															0.01					
C2		0												0.03		0.02						0.01					0.01		0.07							0.01											0.01	0.02		0.01						0.01		0.01	0.01			0.03								0.01						0.01				0.01			0.01				0.01					
SC3		0.01	0			0.02					0.01	0.02		0.01	0	0				0.01		0.01					0.01	0.02										0.01		0.05							0.01							0.01							0	0.01	0.01	0.04			0.01								0	0.01			0.01								0.02				0	
Caldithrix_KSB1				0.01		0.01						0.01		0.02	0	0.03	0.02			0.01							0.01													0.05	0.01			0.02				0.01		0.02								0.01						0.04						0.01		0.02				0.02			0.01								0					
Thermoprotei_Cren				0.01		0.01					0.01	0.01		0.01		0.02																												0.01			0.01	0.02		0				0.01		0.01	0.03	0.02				0.01					0.01			0.01					0					0.02	0.02											
pMC2A209		0									0.01	0.01	0			0	0.02															0.01				0.01					0.01			0.01		0.04	0.02			0				0.01				0.01				0.01								0.02								0.01	0.01	0.01												
WSA2				0.01						0.01	0.01	0.01		0.02	0	0												0.01																			0	0.02		0.01							0.01									0.01				0				0.01						0			0.04									
OP8				0.01								0.01		0.02								0.01					0.01																				0			0								0.01														0.02								0.02	0.04		0.01				0.01					
Haptophyceae											0.01		0						0.03																								0.01																0.01				0.02		0.01						0.03		0.02														0				0	
Marine_group_A				0.01												0						0.01						0.01																			0	0.01								0.03																	0	0.01		0.01				0.01						0.02						
pMC2A384		0		0.01					0.01		0.01		0		0	0.01												0.01			0.01											0								0					0.01						0														0				0.01													
Deferribacteres						0.01									0	0				0.01				0.01																		0			0.01			0.01		0								0.01				0.01								0																						
pSL22		0.01		0.01																											0.01								0.01			0									0.01			0.01								0.01								0.01															0.01		0					
ZB3						0.01						0.01		0.01		0.01	0.02																							0.05				0.01				0.01		0.01																																										
SR1						0.01						0.03																														0								0.01						0.01																																				
pMC1														0.01															0.14																																							0.01		0									0.02		0.02											
Fervidomicrobium															0	0.01																																0.02		0				0.01																						0.01																
OP5		0												0.05																																																	0.01																													
AD3		0				0.01							0									0.01																																				0.01												0																						
VHS-B5-50																														0.01								0.01						0.01												0.01														0																					0	
MVP-15								0.01				0.01														0.05	0.01																																					0.04						0																	0					
Heterolobosea																0																0.01		0																0		0.01																			0.01											0.01										
Thaumarchaeota				0.01																																								0.01														0.01														0.03																				
FCPS706																								0.01														0.01										0.01																		0.01				0																						
Halobacteriales																																																								0.01														0	0.01				0																	
Aquificae																																																0.01																		0.01				0													0.01									
LD1		0.01																																																																					0.01																					
Haplosporidia																															0.01																																																0.01	0												
Plasmodiophorida																																0.02																						0.01																																						
SAGMEG-1											0.01			0.01																																																								0																						
Synergistetes_Aminanaerobia																																																																																			0.02			0.02						
CD12											0.01																																																																																	
GN1																																																		0.01																																										
OP9_JS1																																																																												0.01																
Eccrinales						0.01																																																																																			0.01			
Thermotogae	0.01																																								0.01																																																			
Thermodesulfobacteria																																																																																							0					
Glaucocystophyceae																																0.01																																																												
Jakobidae																																																			0.01																																									
a1b020																																																																																0												
pISA1																																																																				0.01																								
BC07-2A-27																							0.02																																																																					
Nucleariidae																																																																			0.01																									
Haloanaerobiales																																																																																							0					
NC10																						0.01																																																																						
pISA7																																												0.01																																																
