"","2007-06-07","2007-06-13","2007-06-27","2007-07-02","2007-07-12","2007-07-25","2007-07-31","2007-08-09","2007-08-20","2007-08-27","2007-09-17","2007-10-01","2007-10-16","2007-11-05","2007-11-14","2008-04-30","2008-05-22","2008-05-29","2008-06-13","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-25","2008-09-09","2008-09-20","2008-10-04","2008-10-23","2009-05-29","2009-06-03","2009-06-08","2009-06-23","2009-06-29","2009-07-07","2009-07-13","2009-07-21","2009-07-27","2009-08-03","2009-08-11","2009-08-18"
"2582859112",0,0,0,0,0,0,0,7,15,8,25,0,18,3,0,1,0,0,1,4,5,0,4,0,67,10,15,27,90,101,17,14,4,0,0,0,0,1,2,0,1,1,2,0,0
"2582858944",0,0,0,0,0,0,3,47,87,33,89,0,122,4,3,0,2,0,15,34,37,1,197,2,96,10,37,97,233,219,70,29,10,2,1,0,3,7,8,7,10,28,22,0,0
"2582858943",0,0,0,0,0,0,4,32,76,26,81,0,112,4,2,2,4,0,12,31,27,1,180,3,129,12,35,88,201,206,63,25,6,3,1,0,5,2,4,3,5,43,18,0,0
"2582980088",0,0,0,0,0,0,0,1,14,10,9,0,37,64,573,25,8,2,11,40,27,2,17,0,43,4,3,7,21,7,5,24,137,10,5,0,4,3,4,3,0,4,4,0,0
"2582980087",0,0,0,0,0,0,1,4,16,9,15,2,52,86,649,30,6,0,21,33,32,3,11,0,55,6,1,15,20,17,9,40,211,11,3,0,4,5,3,7,5,5,2,0,0
"2582980086",0,0,0,0,0,0,5,4,12,15,25,6,61,125,1027,45,11,4,20,41,29,3,24,0,74,10,1,21,30,12,10,53,350,17,11,0,4,4,8,4,7,10,11,0,0
"2582979757",0,0,0,0,0,0,0,0,2,2,14,1,18,59,642,11,2,0,1,1,5,1,8,0,10,0,2,2,6,1,2,10,54,3,1,0,2,2,4,0,2,0,4,0,0
"2595247635",0,0,0,0,0,0,26,65,20,30,27,3,23,16,15,1,0,0,3,11,11,0,23,0,88,24,5,8,14,19,15,9,26,46,54,3,0,6,16,20,1,1,7,0,0
"2595259764",0,0,0,0,0,0,26,66,20,30,27,3,23,16,15,1,0,0,3,11,11,0,23,0,89,24,5,8,14,19,15,9,26,46,54,3,0,6,16,20,1,1,7,0,0
"2582842071",0,0,0,0,0,0,2,2,2,9,10,1,53,83,520,25,3,1,16,14,19,3,6,0,15,3,0,9,22,6,0,47,174,9,3,0,2,3,2,1,6,3,4,0,0
"2582840403",0,0,0,0,0,0,6,4,17,22,29,7,72,146,1123,54,16,4,34,59,45,3,33,0,69,12,2,24,47,20,16,65,396,20,15,0,5,6,10,4,7,18,13,0,0
"2582840264",0,0,0,0,0,0,1,3,14,10,12,4,49,122,629,31,9,0,43,51,24,6,25,0,24,5,2,8,23,9,11,54,244,13,9,1,3,6,8,7,8,5,7,0,0
"2582840251",0,0,0,0,0,0,1,0,3,3,12,5,32,71,470,18,6,1,15,19,8,5,13,0,16,1,1,6,7,8,2,60,142,3,7,1,3,1,4,1,9,3,6,0,0
"2582840171",0,0,0,0,0,0,1,0,1,1,8,0,11,15,190,7,2,1,4,10,6,1,4,0,20,2,2,4,8,4,2,13,76,1,0,0,1,3,1,1,1,1,1,0,0
"2582844456",0,0,0,0,0,0,16,14,14,19,91,78,148,60,28,0,0,0,15,266,109,4,132,6,402,74,7,3,6,11,21,25,44,13,6,1,98,218,77,174,26,35,83,0,0
"2582855810",0,0,0,0,0,0,2,3,32,39,31,0,76,51,343,5,4,0,4,18,20,0,21,1,11,1,3,16,24,12,13,4,48,8,5,2,1,1,2,2,1,4,2,0,0
"2582855734",0,0,0,0,0,0,2,4,53,58,53,1,84,83,454,5,5,0,6,18,13,1,32,2,7,2,6,26,43,13,17,19,40,14,9,0,0,5,2,2,0,3,6,0,0
"2582855171",0,0,0,0,0,0,1,2,35,36,39,0,45,69,297,7,6,0,1,12,16,1,28,2,11,2,2,18,27,7,12,11,36,14,2,1,0,3,0,1,0,1,3,0,0
"2582854751",0,0,0,0,0,0,0,2,14,10,15,2,19,38,123,2,1,0,3,9,6,0,7,0,2,0,1,4,5,9,3,2,8,7,1,0,0,0,0,0,0,4,0,0,0
"2582886163",0,0,0,0,0,0,2,3,10,23,29,7,66,129,1005,50,15,3,37,67,50,4,33,0,60,11,1,19,43,15,15,55,330,17,14,0,5,6,9,4,8,16,14,0,0
"2582883775",0,0,0,0,0,0,0,0,7,8,2,0,1,3,8,16,13,1,35,47,50,6,11,1,6,3,2,5,10,5,5,0,7,3,1,0,0,0,0,0,3,2,3,0,0
"2582843253",0,0,0,0,0,0,8,120,7,2,104,12,24,10,4,2,0,0,2,79,39,2,9,1,109,37,1,8,25,11,17,27,3,7,7,2,4,65,62,63,4,2,1,0,0
"2582849755",0,0,0,0,0,0,0,0,2,0,1,0,0,1,14,1,0,0,6,9,8,0,2,0,7,0,1,2,12,5,2,0,9,5,4,0,1,2,0,0,1,0,1,0,0
"2582849607",0,0,0,0,0,0,6,62,85,58,67,10,57,135,760,48,20,9,86,153,153,12,169,7,239,28,54,188,289,169,139,48,383,193,177,3,98,60,62,57,60,27,53,0,0
"2582849419",0,0,0,0,0,0,0,0,0,0,1,0,1,1,16,4,2,0,5,3,3,0,4,1,3,0,1,4,6,4,1,1,8,8,2,0,1,0,0,0,2,2,1,0,0
"2582849219",0,0,0,0,0,0,11,53,97,61,69,15,83,152,835,64,32,4,92,146,168,14,216,6,235,30,53,178,341,180,134,56,409,147,85,2,78,50,51,61,50,43,68,0,0
"2582849120",0,0,0,0,0,0,0,0,1,3,1,0,2,7,30,3,3,0,14,19,10,1,12,0,2,1,1,10,20,9,7,1,17,16,9,0,4,2,0,1,2,6,2,0,0
"2582848973",0,0,0,0,0,0,0,19,31,22,13,8,18,51,305,24,10,3,46,55,50,6,48,3,85,15,13,51,110,62,44,17,132,61,40,3,35,28,30,21,23,11,19,0,0
"2582848740",0,0,0,0,0,0,3,14,32,15,22,6,24,62,379,23,11,7,52,74,71,8,90,3,109,9,20,73,144,53,46,24,188,56,52,2,44,21,27,17,19,13,36,0,0
"2582880292",0,0,0,0,0,0,0,2,2,1,19,1,7,1,0,0,0,0,6,30,43,5,8,2,34,6,0,0,5,10,11,0,1,3,6,0,2,0,3,13,1,0,1,0,0
"2582906133",0,0,0,0,0,0,16,60,169,45,167,2,281,7,1,2,5,0,40,81,82,0,485,5,44,5,72,181,364,300,138,17,16,9,2,0,6,6,12,27,13,113,55,0,0
"2582906132",0,0,0,0,0,0,13,73,150,48,135,0,246,7,2,1,4,1,36,97,78,2,397,2,53,8,58,169,363,279,130,24,18,3,1,0,8,10,14,19,20,99,53,0,0
"2582971954",0,0,0,0,0,0,0,1,4,0,4,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2582969782",0,0,0,0,0,0,0,2,9,6,5,0,15,3,1,0,1,0,0,1,0,0,2,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2595242548",0,0,0,0,0,0,0,10,18,5,4,0,2,0,2,0,2,0,8,13,5,0,5,0,10,2,0,2,8,4,3,1,3,5,1,0,2,3,0,2,1,2,3,0,0
"2595250416",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,1,4,0,11,0,0,0,1,3,13,2,9,1,3,0,0,0,0,0,0,0,0,2,1,0,0
"2595250415",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,17,0,0,0,2,9,7,5,7,0,6,1,0,0,1,0,0,0,4,4,2,0,0
"2595253177",0,0,0,0,0,0,0,8,20,8,24,1,15,0,2,0,0,0,0,3,4,0,5,1,80,10,17,23,72,90,24,19,8,0,0,0,2,0,0,1,0,1,6,0,0
"637170375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637170374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2582928761",0,0,0,0,0,0,2,2,5,12,3,3,2,13,30,8,10,4,12,19,11,3,10,0,11,2,2,5,12,3,2,2,9,24,9,1,2,3,7,10,4,3,7,0,0
"2583001124",0,0,0,0,0,0,1,1,4,11,5,0,6,1,1,0,0,0,0,2,3,0,7,0,3,0,3,2,11,1,1,2,4,1,0,0,5,3,1,1,0,15,13,0,0
"2595241393",0,0,0,0,0,0,1,1,4,10,30,4,79,167,941,33,5,0,8,9,7,1,10,0,45,7,2,7,15,17,14,106,305,17,12,0,2,7,8,2,13,8,14,0,0
"2582866477",0,0,0,0,0,0,3,6,26,23,25,3,21,12,11,0,1,0,2,7,7,2,10,0,56,14,8,18,22,27,17,3,36,170,157,8,71,45,40,38,11,1,9,0,0
"2582945118",0,0,0,0,0,0,0,0,1,7,2,0,3,0,1,0,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
"2595245235",0,0,0,0,0,0,0,2,12,6,5,0,7,1,0,0,0,0,0,4,1,0,11,0,25,4,2,10,10,3,7,3,1,0,0,0,0,0,0,1,0,4,1,0,0
"2595261835",0,0,0,0,0,0,2,1,16,9,2,0,5,1,17,36,6,0,41,73,53,10,19,1,5,1,1,10,18,5,7,1,11,3,2,0,3,0,0,0,0,2,1,0,0
"2582854146",0,0,0,0,0,0,16,60,169,45,167,2,281,7,1,2,5,0,40,81,82,0,485,5,44,5,72,181,364,300,138,17,16,9,2,0,6,6,12,27,13,113,55,0,0
"2582854145",0,0,0,0,0,0,13,73,150,48,135,0,246,7,2,1,4,1,36,97,78,2,397,2,53,8,58,169,363,279,130,24,18,3,1,0,8,10,14,19,20,99,53,0,0
"2582854081",0,0,0,0,0,0,2,11,40,12,33,0,70,0,0,0,3,0,6,18,18,0,98,0,1,2,8,37,75,64,35,7,3,2,0,0,3,2,2,5,9,27,17,0,0
"2582854075",0,0,0,0,0,0,4,20,48,16,37,0,67,1,0,0,2,0,6,24,13,0,128,1,0,1,12,45,127,69,32,4,9,4,0,0,5,1,0,7,5,24,9,0,0
"2582853463",0,0,0,0,0,0,26,130,321,77,272,1,424,11,18,5,8,0,58,195,107,5,750,7,143,12,134,331,678,533,256,34,63,14,8,0,14,16,28,49,57,202,95,0,0
"2582852901",0,0,0,0,0,0,24,79,192,55,198,1,285,11,6,3,6,1,35,105,81,4,504,2,80,9,84,232,450,333,197,19,31,4,1,0,9,11,18,31,34,148,89,0,0
"2582852826",0,0,0,0,0,0,20,66,201,42,165,1,314,2,4,6,6,0,42,102,84,2,465,5,17,3,85,205,394,301,163,22,30,14,2,1,7,13,17,32,32,105,70,0,0
"2582852763",0,0,0,0,0,0,14,56,135,35,114,0,198,2,3,2,6,0,29,79,59,0,325,1,5,3,51,138,278,182,109,11,23,7,1,1,2,8,10,11,17,74,51,0,0
"2582914362",0,0,0,0,0,0,0,0,0,0,1,0,1,2,19,14,3,0,7,27,14,0,9,0,0,0,0,2,3,0,3,0,11,7,1,0,0,0,0,0,0,0,0,0,0
"2582913909",0,0,0,0,0,0,0,0,1,1,0,0,0,1,13,5,2,0,0,10,6,0,6,0,0,0,0,1,0,0,2,0,1,3,0,0,1,0,0,1,0,1,0,0,0
"2582912517",0,0,0,0,0,0,0,1,0,0,2,0,0,0,35,20,3,0,10,21,15,1,16,1,0,0,0,1,1,0,0,1,15,6,1,0,1,1,0,0,1,0,0,0,0
"2582974175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,3,1,0,1,0,2,0,0,2,3,3,0,0,1,16,4,0,6,3,0,2,3,10,8,0,0
"2582974174",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,1,0,2,0,4,0,0,1,1,2,1,0,1,4,2,0,3,2,0,1,3,3,6,0,0
"2583014721",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2582898045",0,0,0,0,0,0,4,3,13,12,26,6,53,108,877,36,10,4,19,32,23,0,16,0,75,7,1,18,31,18,10,49,368,14,13,0,4,3,8,4,5,12,8,0,0
"2582898044",0,0,0,0,0,0,1,4,11,5,9,1,33,56,450,25,3,0,16,22,25,2,5,0,53,2,0,13,13,12,7,26,178,8,2,0,2,3,3,4,4,3,2,0,0
"2582898043",0,0,0,0,0,0,0,0,6,4,15,1,25,38,349,16,3,4,10,22,14,1,10,0,44,1,2,7,12,8,5,18,156,5,8,0,0,3,1,2,1,2,5,0,0
"2582901032",0,0,0,0,0,0,4,5,69,149,67,1,88,23,9,0,3,0,13,27,24,5,73,3,24,3,16,62,121,124,91,40,42,19,9,0,14,4,0,12,14,107,212,0,0
"2582925748",0,0,0,0,0,0,0,0,1,5,3,0,0,1,6,0,1,0,2,7,4,0,3,0,2,0,1,0,1,1,0,0,0,6,3,0,5,0,0,0,0,1,2,0,0
"2582925747",0,0,0,0,0,0,0,0,3,5,1,2,1,4,9,1,1,0,1,2,0,0,4,0,4,0,0,0,1,2,0,0,4,7,7,0,0,0,1,5,4,2,2,0,0
