"","2007-05-28","2007-06-07","2007-06-13","2007-06-27","2007-07-02","2007-07-12","2007-07-25","2007-07-31","2007-08-09","2007-08-20","2007-08-27","2007-09-10","2007-09-17","2007-10-01","2007-10-16","2007-11-05","2007-11-14","2008-05-22","2008-05-29","2008-06-13","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-25","2008-09-09","2008-09-20","2008-10-04","2008-10-23","2009-05-29","2009-06-03","2009-06-15","2009-06-23","2009-06-29","2009-07-07","2009-07-13","2009-07-21","2009-07-27","2009-08-03","2009-08-11","2009-08-18"
"2582859112",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,10,0,9,1,2,2,6,8,3
"2582858944",0,0,3,0,0,0,0,0,84,0,0,0,0,0,0,0,0,13,48,0,0,0,0,0,0,0,0,0,0,0,35,0,120,0,108,0,168,60,209,92,16,100,68,146,52
"2582858943",0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0,0,0,31,0,95,0,60,0,125,47,188,98,21,143,106,143,39
"2582980088",0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,32,35,0,0,0,0,0,0,0,0,0,0,0,5,0,24,0,57,0,45,20,29,19,6,24,20,12,14
"2582980087",0,0,9,0,0,0,0,0,32,0,0,0,0,0,0,0,0,49,73,0,0,0,0,0,0,0,0,0,0,0,10,0,43,0,74,0,57,19,32,16,7,29,26,21,18
"2582980086",0,0,13,0,0,0,0,0,42,0,0,0,0,0,0,0,0,66,77,0,0,0,0,0,0,0,0,0,0,0,13,0,53,0,131,0,103,28,43,32,14,50,36,30,31
"2582979757",0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,32,0,18,12,8,7,4,12,5,6,8
"2595247635",0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,21,0,14,7,16,8,1,9,9,2,3
"2595259764",0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,21,0,14,7,16,8,1,9,9,2,3
"2582842071",0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,33,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,46,0,44,19,27,32,6,22,32,10,18
"2582840403",0,0,20,0,0,0,0,0,64,0,0,0,0,0,0,0,0,88,101,0,0,0,0,0,0,0,0,0,0,0,17,0,62,0,163,0,126,42,64,44,17,65,51,40,40
"2582840264",0,0,39,0,0,0,0,0,34,0,0,0,0,0,0,0,0,44,67,0,0,0,0,0,0,0,0,0,0,0,11,0,35,0,90,0,78,53,46,51,19,34,49,15,34
"2582840251",0,0,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,35,17,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,53,0,35,34,21,19,4,28,26,11,16
"2582840171",0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,30,0,12,3,6,7,1,6,9,4,7
"2582844456",0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,12,0,10,10,232,7,5,2,3,2,16
"2582855810",0,0,37,0,0,0,0,0,137,0,0,0,0,0,0,0,0,74,65,0,0,0,0,0,0,0,0,0,0,0,18,0,60,0,94,0,34,18,21,9,7,41,27,22,9
"2582855734",0,0,42,0,0,0,0,0,209,0,0,0,0,0,0,0,0,97,70,0,0,0,0,0,0,0,0,0,0,0,26,0,90,0,144,0,49,24,22,21,7,48,50,29,12
"2582855171",0,0,25,0,0,0,0,0,118,0,0,0,0,0,0,0,0,79,74,0,0,0,0,0,0,0,0,0,0,0,18,0,55,0,75,0,39,8,22,16,6,35,27,18,12
"2582854751",0,0,12,0,0,0,0,0,72,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,27,0,12,5,6,7,0,14,15,3,4
"2582886163",0,0,19,0,0,0,0,0,62,0,0,0,0,0,0,0,0,89,98,0,0,0,0,0,0,0,0,0,0,0,18,0,63,0,165,0,117,37,62,47,17,62,50,39,41
"2582883775",0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,39,36,0,0,0,0,0,0,0,0,0,0,0,6,0,30,0,33,0,17,17,16,8,2,12,9,4,5
"2582843253",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,112,3,1,4,0,1,0
"2582849755",0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,34,0,21,24,3,25,13,19,10,9,30
"2582849607",0,0,223,0,0,0,0,0,162,0,0,0,0,0,0,0,0,505,393,0,0,0,0,0,0,0,0,0,0,0,117,0,379,0,651,0,426,416,245,339,156,306,227,129,460
"2582849419",0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,39,0,19,18,4,13,2,9,11,10,15
"2582849219",0,0,177,0,0,0,0,0,158,0,0,0,0,0,0,0,0,572,445,0,0,0,0,0,0,0,0,0,0,0,128,0,403,0,531,0,347,290,254,326,118,278,177,147,413
"2582849120",0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,0,0,0,0,7,0,33,0,64,0,49,43,24,41,12,34,24,11,35
"2582848973",0,0,70,0,0,0,0,0,67,0,0,0,0,0,0,0,0,197,143,0,0,0,0,0,0,0,0,0,0,0,44,0,123,0,239,0,158,133,93,121,48,110,81,49,162
"2582848740",0,0,83,0,0,0,0,0,74,0,0,0,0,0,0,0,0,239,179,0,0,0,0,0,0,0,0,0,0,0,52,0,172,0,341,0,181,197,117,159,71,132,108,71,203
"2582880292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
"2582906133",0,0,5,0,0,0,0,0,195,0,0,0,0,0,0,0,0,29,122,0,0,0,0,0,0,0,0,0,0,0,66,0,239,0,210,0,409,134,499,268,49,329,257,427,133
"2582906132",0,0,5,0,0,0,0,0,184,0,0,0,0,0,0,0,0,17,105,0,0,0,0,0,0,0,0,0,0,0,65,0,223,0,247,0,396,134,483,242,50,310,211,351,113
"2582971954",0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,1,0,3,0,3,0,2,0
"2582969782",0,0,7,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,2,3,0,2,0,0,0
"2595242548",0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,69,0,32,5,17,21,5,16,14,35,0
"2595250416",0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,25,0,43,35,6,23,19,17,13,12,27
"2595250415",0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,26,0,41,35,12,14,7,24,14,7,33
"2595253177",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,6,0,6,2,2,1,1,11,2,7,2
"637170375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637170374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2582928761",0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,62,26,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,173,0,113,53,64,72,27,72,55,20,51
"2583001124",0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,62,0,66,38,61,68,19,42,33,8,37
"2595241393",0,0,18,0,0,0,0,0,15,0,0,0,0,0,0,0,0,43,55,0,0,0,0,0,0,0,0,0,0,0,7,0,32,0,87,0,81,43,51,53,20,49,43,26,37
"2582866477",0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,34,0,31,21,33,28,9,6,10,3,10
"2582945118",0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,7,0,9,5,1,5,3,3,4,5,20
"2595245235",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,12,0,25,0,14,0,9,2,7,7,4,13,5,3,8
"2595261835",0,0,26,0,0,0,0,0,34,0,0,0,0,0,0,0,0,37,48,0,0,0,0,0,0,0,0,0,0,0,8,0,28,0,38,0,32,16,20,15,2,18,19,13,10
"2582854146",0,0,5,0,0,0,0,0,195,0,0,0,0,0,0,0,0,29,122,0,0,0,0,0,0,0,0,0,0,0,66,0,239,0,210,0,409,134,499,268,49,329,257,427,133
"2582854145",0,0,5,0,0,0,0,0,184,0,0,0,0,0,0,0,0,17,105,0,0,0,0,0,0,0,0,0,0,0,65,0,223,0,247,0,396,134,483,242,50,310,211,351,113
"2582854081",0,0,4,0,0,0,0,0,58,0,0,0,0,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,26,0,53,0,73,0,111,49,123,66,13,75,54,96,27
"2582854075",0,0,2,0,0,0,0,0,63,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,11,0,68,0,66,0,145,57,145,102,22,114,66,98,37
"2582853463",0,0,9,0,0,0,0,0,354,0,0,0,0,0,0,0,0,59,233,0,0,0,0,0,0,0,0,0,0,0,138,0,458,0,466,0,734,299,863,465,102,536,372,729,245
"2582852901",0,0,6,0,0,0,0,0,251,0,0,0,0,0,0,0,0,23,101,0,0,0,0,0,0,0,0,0,0,0,78,0,278,0,257,0,447,201,542,344,82,417,267,476,193
"2582852826",0,0,3,0,0,0,0,0,215,0,0,0,0,0,0,0,0,38,178,0,0,0,0,0,0,0,0,0,0,0,73,0,281,0,350,0,510,146,534,242,70,286,204,481,115
"2582852763",0,0,4,0,0,0,0,0,162,0,0,0,0,0,0,0,0,14,96,0,0,0,0,0,0,0,0,0,0,0,48,0,180,0,168,0,367,133,397,220,45,242,212,299,121
"2582914362",0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,117,39,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,123,0,27,6,17,3,0,5,3,3,0
"2582913909",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50,0,3,2,4,0,1,3,1,1,1
"2582912517",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,118,55,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,94,0,9,6,13,0,0,11,1,3,1
"2582974175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,86,29,49,29,8,31,38,27,8
"2582974174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,60,18,52,15,3,20,31,25,9
"2583014721",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8,0,6,3,0,2,1,4,3,7,1
"2582898045",0,0,18,0,0,0,0,0,45,0,0,0,0,0,0,0,0,52,58,0,0,0,0,0,0,0,0,0,0,0,9,0,42,0,120,0,89,31,42,31,12,43,34,25,33
"2582898044",0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,32,51,0,0,0,0,0,0,0,0,0,0,0,8,0,34,0,49,0,31,16,25,8,5,17,17,18,11
"2582898043",0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,32,0,30,12,18,13,4,14,14,6,7
"2582901032",0,0,38,0,0,0,0,0,128,0,0,0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,10,0,53,0,266,0,412,350,371,512,199,412,309,79,374
"2582925748",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60,0,29,19,18,31,5,19,11,7,11
"2582925747",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,23,15,16,22,12,19,17,7,17
